date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:12	270/270	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Jul%202022%2019:23:13%20GMT	https://coolcats.mints-link.com/robots.txt		(from )
21:23:13	10155/10155	---M-Z	200	added ('OK')	text/html	etag:%2227ab-5e2a4deaa9814-gzip%22	https://coolcats.mints-link.com/	C:/My%20Web%20Sites/LUKAVAKOLIJA/coolcats.mints-link.com/index.html	(from )
21:23:14	270/270	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Jul%202022%2019:23:14%20GMT	https://coolcats.mints-link.com/logo.jpg	C:/My%20Web%20Sites/LUKAVAKOLIJA/coolcats.mints-link.com/logo.0.delayed	(from https://coolcats.mints-link.com/)
21:23:16	1235/1235	---M--	200	added ('OK')	application/javascript	etag:%224d3-5e22db4ec6740%22	https://coolcats.mints-link.com/settings.js	C:/My%20Web%20Sites/LUKAVAKOLIJA/coolcats.mints-link.com/settings.js	(from https://coolcats.mints-link.com/)
21:23:17	1231/1231	---M--	200	added ('OK')	application/javascript	etag:%224cf-5dcd0ef8f2f80%22	https://coolcats.mints-link.com/javascript/alert.js	C:/My%20Web%20Sites/LUKAVAKOLIJA/coolcats.mints-link.com/javascript/alert.js	(from https://coolcats.mints-link.com/)
21:23:18	52/52	---MCZ	302	error ('Found')	text/plain	date:Mon,%2004%20Jul%202022%2019:23:18%20GMT	https://npmcdn.com/moralis/dist/moralis.js	C:/My%20Web%20Sites/LUKAVAKOLIJA/npmcdn.com/moralis/dist/moralis.4.delayed	(from https://coolcats.mints-link.com/)
21:23:19	2862499/2862499	---MCZ	200	added ('OK')	application/javascript	etag:%222bada3-E8w1HUs9h39TnlVjX92VHqms3f8%22	https://npmcdn.com/moralis@1.8.1/dist/moralis.js	C:/My%20Web%20Sites/LUKAVAKOLIJA/npmcdn.com/moralis@1.8.1/dist/moralis.js	(from https://coolcats.mints-link.com/)
21:23:19	6966/6966	---M--	200	added ('OK')	text/css	etag:%221b36-5d9d582b95a00%22	https://coolcats.mints-link.com/css/main.css	C:/My%20Web%20Sites/LUKAVAKOLIJA/coolcats.mints-link.com/css/main.css	(from https://coolcats.mints-link.com/)
21:23:19	272005/272005	---M--	200	added ('OK')	image/gif	etag:%2242685-5dfeff51c3e80%22	https://coolcats.mints-link.com/images/gif.gif	C:/My%20Web%20Sites/LUKAVAKOLIJA/coolcats.mints-link.com/images/gif.gif	(from https://coolcats.mints-link.com/)
21:23:20	2535/2535	---M--	200	added ('OK')	text/css	etag:%229e7-5d9fbdfe68b00%22	https://coolcats.mints-link.com/css/normalize.css	C:/My%20Web%20Sites/LUKAVAKOLIJA/coolcats.mints-link.com/css/normalize.css	(from https://coolcats.mints-link.com/)
